@relation emocion

@attribute noun {yes,no}
@attribute prepositional {yes,no}
@attribute CoordinatingConjunction {yes,no}
@attribute SubordinatingConjunction {yes,no}
@attribute ConjuntiveAdverbs {yes,no}
@attribute verbPositive real
@attribute verbNegative real
@attribute adjetivePositive real
@attribute adjetiveNegative real
@attribute numPalabras real
@attribute puntiacion {yes,no}
@attribute resul {neutro,positivo,negativo}

@data
yes,yes,no,no,no,0,4,3,0,36,yes,? 
yes,yes,no,no,no,0,1,2,0,40,yes,? 
yes,yes,no,no,no,0,0,0,0,12,yes,? 
yes,yes,no,no,yes,0,0,0,0,24,yes,? 
yes,yes,no,no,no,0,0,0,0,11,yes,? 
yes,yes,yes,no,no,0,0,0,0,13,yes,? 
yes,yes,no,yes,no,0,0,0,0,16,yes,? 
yes,yes,no,no,no,0,0,0,0,16,yes,? 
yes,yes,no,no,no,0,3,0,0,25,yes,? 
yes,yes,no,no,no,0,0,1,0,11,yes,? 
yes,yes,no,no,no,0,0,1,0,20,yes,? 
yes,yes,no,yes,no,0,0,0,0,28,yes,? 
yes,yes,no,no,no,0,3,0,0,22,yes,? 
yes,yes,no,no,yes,0,2,3,0,40,yes,? 
yes,yes,no,no,no,0,0,2,0,47,yes,? 
yes,yes,no,yes,no,0,1,0,0,19,yes,? 
yes,yes,no,no,no,0,1,0,0,23,yes,? 
yes,yes,no,no,no,0,1,3,0,19,yes,? 
yes,yes,no,no,yes,0,1,1,0,22,yes,? 
yes,yes,no,no,no,0,0,0,0,26,yes,? 
yes,yes,no,no,no,0,1,0,0,52,yes,? 
yes,yes,no,yes,no,0,3,1,0,37,yes,? 
yes,yes,no,yes,no,0,1,0,0,17,yes,? 
yes,yes,no,no,yes,0,0,0,0,16,yes,? 
yes,yes,no,no,no,0,1,0,0,32,yes,? 
yes,yes,no,no,no,0,1,0,0,28,yes,? 
yes,yes,no,no,no,0,0,1,0,32,yes,? 
yes,yes,no,no,no,0,1,2,0,27,yes,? 
yes,yes,no,no,no,0,0,0,0,10,yes,? 
yes,yes,no,yes,no,0,1,0,0,28,yes,? 
yes,yes,no,no,no,0,2,0,0,11,yes,? 
yes,yes,no,no,no,0,0,0,0,7,yes,? 
yes,yes,no,no,no,0,1,0,0,26,yes,? 
yes,yes,no,no,no,0,1,0,0,29,yes,? 
yes,yes,no,no,no,0,2,0,0,30,yes,? 
yes,yes,no,no,no,0,0,0,0,24,yes,? 
