@relation entrenar
@attribute noun {yes,no}
@attribute prepositional {yes,no}
@attribute CoordinatingConjunction {yes,no}
@attribute SubordinatingConjunction {yes,no}
@attribute ConjuntiveAdverbs {yes,no}
@attribute verbPositive real
@attribute verbNegative real
@attribute adjetivePositive real
@attribute adjetiveNegative real
@attribute numPalabras real
@attribute puntiacion {yes,no}
@attribute resul {neutro,positivo,negativo}
@data
yes,no,yes,no,no,0,0,0,0,6,yes,neutro
yes,yes,no,no,no,0,0,0,0,18,yes,neutro
yes,yes,no,no,no,0,0,0,0,17,yes,neutro
yes,yes,no,no,yes,0,0,0,0,18,yes,neutro
yes,yes,no,no,no,0,0,0,0,30,yes,neutro
yes,yes,no,no,no,0,0,0,0,35,yes,neutro
yes,yes,no,no,no,0,0,0,0,27,yes,neutro
yes,yes,no,yes,no,0,0,0,0,8,yes,neutro
yes,yes,no,no,no,0,0,1,0,41,yes,neutro
yes,yes,no,no,no,0,0,0,0,48,yes,neutro
yes,yes,no,no,no,0,0,1,0,25,yes,neutro
yes,yes,no,yes,no,0,0,0,0,12,yes,neutro
yes,yes,no,no,no,0,0,0,0,26,yes,neutro
yes,yes,no,no,no,0,2,1,0,58,yes,negativo
yes,yes,no,no,no,0,2,0,0,85,yes,negativo
yes,yes,no,no,no,0,3,0,0,68,yes,negativo
yes,yes,no,no,no,0,1,3,0,50,yes,positivo
yes,yes,no,no,no,0,1,2,0,27,yes,positivo
yes,yes,no,no,no,0,0,0,0,5,yes,neutro
yes,yes,no,no,no,0,0,0,0,13,yes,neutro
yes,yes,no,no,no,0,2,1,0,29,yes,negativo
yes,yes,no,no,no,0,0,0,0,16,yes,neutro
yes,yes,no,yes,no,0,1,0,0,41,yes,neutro
yes,yes,no,yes,no,0,1,0,0,16,yes,neutro
yes,yes,no,no,no,0,0,0,0,43,yes,neutro
yes,yes,no,no,no,0,0,0,0,20,yes,neutro
yes,yes,no,no,no,0,1,0,0,25,yes,neutro
yes,yes,no,no,no,0,0,0,0,13,yes,neutro
yes,yes,no,no,no,0,0,0,0,14,yes,neutro
yes,yes,no,no,no,0,0,0,0,13,yes,neutro
yes,yes,no,no,no,0,3,0,0,28,yes,negativo
yes,yes,no,no,no,0,0,0,0,18,yes,neutro
yes,yes,no,no,no,0,1,0,0,28,yes,neutro
yes,yes,no,no,no,0,3,1,0,89,yes,negativo
yes,yes,no,no,no,0,2,0,0,28,yes,neutro
yes,yes,no,no,no,0,0,0,0,53,yes,neutro
yes,yes,no,no,no,0,0,0,0,46,yes,neutro
yes,yes,no,no,no,0,0,0,0,12,yes,neutro
yes,yes,no,yes,no,0,2,1,0,61,yes,negativo
yes,yes,no,no,no,0,0,0,0,30,yes,neutro
yes,yes,no,no,no,0,0,0,0,6,yes,neutro
yes,yes,no,no,no,0,1,0,1,39,yes,positivo
yes,yes,no,no,no,0,0,0,0,16,yes,neutro
yes,yes,no,yes,no,0,1,0,0,18,yes,neutro
yes,yes,no,no,no,0,0,1,0,34,yes,neutro
yes,yes,no,no,no,0,0,0,0,8,yes,neutro
yes,yes,no,no,no,0,0,0,0,29,yes,neutro
yes,yes,no,no,no,0,1,0,0,58,yes,negativo
yes,yes,no,no,no,0,0,0,0,29,yes,neutro
yes,yes,no,no,no,0,0,0,0,27,yes,neutro
yes,yes,no,no,no,0,0,0,0,23,yes,neutro
yes,yes,no,no,no,0,2,0,0,35,yes,neutro
yes,yes,no,no,no,0,3,0,0,36,yes,negativo
yes,yes,no,no,no,0,1,0,0,20,yes,neutro
yes,yes,no,yes,no,0,0,0,0,23,yes,neutro
yes,yes,no,no,no,0,0,0,0,14,yes,neutro
yes,yes,no,no,no,0,1,0,0,14,yes,neutro
