@relation entrenar
@attribute noun {yes,no}
@attribute prepositional {yes,no}
@attribute CoordinatingConjunction {yes,no}
@attribute SubordinatingConjunction {yes,no}
@attribute ConjuntiveAdverbs {yes,no}
@attribute verbPositive real
@attribute verbNegative real
@attribute adjetivePositive real
@attribute adjetiveNegative real
@attribute numPalabras real
@attribute puntiacion {yes,no}
@attribute resul {neutro,positivo,negativo}
@data
yes,yes,no,no,no,0,1,0,0,14,yes,neutro
yes,yes,no,no,no,0,2,0,0,38,yes,neutro
yes,yes,no,no,no,0,5,0,0,44,yes,negativo
yes,yes,no,no,yes,0,1,0,0,26,yes,neutro
yes,yes,no,no,no,0,2,0,1,34,yes,negativo
yes,yes,no,no,no,0,1,0,0,26,yes,neutro
yes,yes,no,no,no,0,1,0,0,46,yes,neutro
yes,yes,no,no,no,0,0,0,0,27,yes,neutro
yes,yes,no,no,no,0,2,0,0,27,yes,neutro
yes,yes,no,no,no,0,1,0,0,39,yes,neutro
yes,yes,no,no,no,0,1,0,0,19,yes,neutro
yes,yes,no,no,no,0,3,1,0,43,yes,negativo
yes,yes,no,no,no,0,2,0,0,26,yes,neutro
yes,yes,no,yes,no,0,2,1,0,37,yes,negativo
yes,yes,no,no,no,0,2,0,1,18,yes,positivo
yes,yes,no,no,no,0,0,0,0,70,yes,negativo
yes,yes,no,yes,no,0,3,0,0,34,yes,negativo
yes,yes,no,no,no,0,3,1,0,31,yes,negativo
yes,yes,no,no,no,0,1,1,0,18,yes,neutro
yes,yes,no,no,no,0,2,1,0,14,yes,neutro
yes,yes,no,no,no,0,0,0,0,11,yes,neutro
yes,yes,no,no,no,0,0,0,0,39,yes,neutro
yes,yes,no,no,no,0,1,0,0,16,yes,neutro
yes,yes,no,no,no,0,2,0,0,22,yes,neutro
yes,yes,no,yes,no,0,1,0,0,23,yes,neutro
yes,yes,no,no,no,0,2,0,0,51,yes,negativo
yes,yes,no,no,no,0,1,0,0,24,yes,neutro
yes,yes,no,no,no,0,0,0,0,15,yes,neutro
yes,yes,no,no,no,0,1,0,0,15,yes,neutro
yes,yes,no,no,no,0,1,0,1,25,yes,positivo
yes,yes,no,no,no,0,0,0,0,24,yes,neutro
yes,yes,no,no,no,0,0,0,0,14,yes,neutro
yes,yes,no,no,no,0,1,0,0,31,yes,neutro
yes,yes,no,no,no,0,1,0,0,37,yes,neutro
yes,yes,no,no,no,0,1,0,0,19,yes,neutro
yes,yes,no,no,yes,0,1,0,0,29,yes,neutro
yes,yes,no,no,no,0,0,0,0,32,yes,neutro
yes,yes,no,no,no,0,4,0,1,18,yes,negativo
yes,yes,no,no,no,0,0,0,0,42,yes,neutro
yes,yes,no,no,no,0,4,0,0,44,yes,negativo
yes,yes,no,no,no,0,0,2,0,15,yes,positivo
yes,yes,no,no,no,0,0,2,0,35,yes,positivo
yes,yes,no,yes,no,0,0,0,0,15,yes,neutro
yes,yes,no,no,no,0,0,1,0,31,yes,neutro
yes,yes,no,no,no,0,0,0,0,30,yes,neutro
yes,yes,no,no,no,0,1,0,0,17,yes,neutro
yes,yes,no,no,no,0,2,0,0,15,yes,neutro
yes,yes,no,no,no,0,2,0,0,44,yes,negativo
yes,yes,no,no,no,0,2,0,0,21,yes,neutro
yes,yes,no,no,no,0,5,0,0,29,yes,negativo
yes,yes,no,no,no,0,5,0,0,48,yes,negativo
yes,yes,no,yes,no,0,1,0,0,36,yes,neutro
yes,yes,no,no,no,0,0,1,0,18,yes,neutro
yes,yes,no,no,no,0,0,0,0,12,yes,neutro
yes,yes,no,no,no,0,2,0,0,18,yes,neutro
yes,yes,no,no,no,0,1,0,0,11,yes,neutro
yes,yes,no,no,no,0,1,0,0,21,yes,neutro
yes,yes,no,no,no,0,1,0,0,24,yes,neutro
yes,yes,no,no,no,0,4,0,0,19,yes,negativo
yes,yes,no,no,no,0,0,0,0,24,yes,neutro
yes,yes,no,no,no,0,4,0,0,54,yes,negativo
yes,yes,no,no,no,0,0,0,0,29,yes,neutro
yes,yes,no,no,no,0,1,1,0,35,yes,neutro
yes,yes,no,no,no,0,2,0,0,28,yes,neutro
yes,yes,no,no,no,0,0,0,0,12,yes,neutro
yes,no,no,no,no,0,0,2,0,11,yes,positivo
yes,yes,no,no,no,0,0,3,0,33,yes,positivo
yes,yes,no,no,no,0,0,0,0,38,yes,neutro
yes,yes,no,no,no,0,1,1,0,59,yes,negativo
yes,yes,no,no,no,0,1,0,0,44,yes,neutro
yes,yes,no,no,no,0,2,0,0,23,yes,neutro
yes,yes,no,no,no,0,0,0,0,11,yes,neutro
yes,yes,no,no,no,0,0,0,0,14,yes,neutro
yes,yes,no,no,no,0,2,0,0,24,yes,neutro
yes,yes,no,no,no,0,1,0,0,30,yes,neutro
yes,yes,no,no,no,0,0,0,0,22,yes,neutro
yes,yes,no,no,no,0,0,0,0,32,yes,neutro
yes,yes,no,no,no,0,2,0,0,33,yes,neutro
yes,yes,no,no,no,0,0,0,0,27,yes,neutro
yes,yes,no,no,no,0,2,0,0,37,yes,neutro
yes,yes,no,no,no,0,0,0,0,40,yes,neutro
yes,yes,no,no,no,0,2,0,0,20,yes,neutro
yes,yes,no,no,no,0,1,0,0,13,yes,neutro
yes,yes,no,yes,no,0,1,1,0,20,yes,neutro
yes,yes,no,no,no,0,3,0,0,24,yes,negativo
yes,yes,no,no,no,0,4,0,0,51,yes,negativo
yes,yes,no,no,no,0,1,0,0,20,yes,neutro
yes,yes,no,no,no,0,3,0,0,11,yes,negativo
yes,yes,no,yes,no,0,0,0,0,24,yes,neutro
yes,yes,no,no,yes,0,3,0,0,28,yes,negativo
yes,yes,no,no,no,0,0,0,0,20,yes,neutro
yes,yes,no,no,yes,0,2,0,0,23,yes,neutro
